
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 15.375}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.3125}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.515625}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.5625}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 15.25}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.296875}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.546875}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.53125}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.390625}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.359375}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.484375}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.515625}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 15.34375}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.234375}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.421875}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.671875}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.953125}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.171875}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.546875}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.703125}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.765625}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.0}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.59375}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.75}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 15.40625}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.203125}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.5}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.390625}

{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 15.390625}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.203125}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.53125}
{'out_of_rail_time': 0.11989141000423513, 'out_of_rail_velocity': 64.8202201469779, 'max_velocity': 1752.1199606138593, 'apogee_time': 6.881360938945749, 'apogee_altitude': 4371.730625177475, 'apogee_x': 79.86009807614447, 'apogee_y': 4.6795392576051764e-07, 'impact_x': 99.60903926457176, 'impact_y': 8.146045120399191e-07, 'initial_static_margin': 11.586178628247081, 'out_of_rail_static_margin': 11.584590331641264, 'out_of_rail_stability_margin': 11.602510608607737, 'execution_time': 14.71875}
Completed 40 iterations successfully. Total CPU time: 0.125 s. Total wall time: 69.97765779495239 s
